quote	source
I write--because I must write.	Taryn A. Taylor
I would not have imagined that love himself would have such a fatal blow this.	Valentinno
He thoroughly intended to do some major grovelling. Olympic-style begging, if necessary.	Christy Reece, Rescue Me
So what if the airin Paris smells of romance?My shirt smells of you.	Pooja Nansi
Bella: I love you. Edward: You are my life now.	Stephenie Meyer
Mistakes? That's why they put erasers on pencils.	Rick Barnett
The features of character are carved out of adversity.	Rick Barnett
Un paraíso conseguido sin esfuerzo no entusiasma al creyente.	Pío Baroja
I wait, with some impatience in my pulse, but no doubt in my breast.	Charlotte Brontë, Villette
It's not a romance, it's a love story.	Sadie Jones
True vice, my lady, would frighten us all, if it did not wear the mask of virtue. (p.56)	Emery Lee, Fortune's Son
Reach for the Stars!	Arsoleen Woolcock
I am 15 and you are 51, I know you are the best, to be loved by, everyone.	Santosh Kalwar
Dammit. I think I’m in like with the naked man I met today.	R.J. Gonzales, Mundahlia
The workings of the male mind are twisted indeed." Winnifred Crane	Kate Noble, Follow My Lead
I can't. I w-want y-you, my own fucking twin!	Sage Whistler, Torn
He wanted to die. He prayed for it. Through the roar in his ears, he begged for it.	V.S. Carnes, Sand for Dreams
Was she on some sort of Candid Camera version of This is Your Sucky Love Life?	Nicki Elson, Three Daves
Inti dari hubungan adalah memiliki seseorang saat kita membutuhkannya".	Lisa Kleypas
I married a man who was as much a part of me as my own soul.	C.J. English
You’re a nosy sleuth like me because you can’t help it,” Alma said.	Ed Lynskey, Sweet Betsy
The busy snoops like us can leave no stone unturned," Alma said.	Ed Lynskey, Sweet Betsy
Love means never saying goodbye.	Harley
I want to be able to love you, more than I fear losing you, and I don’t know how.	Mia Sheridan, Archer's Voice
So how did you do it? What makes the cold-hearted princeling mortal like the rest of us?	Rachel E. Carter, Apprentice
Was he trying to rescue her?She fought not to roll her eyes. Men.	Pamela Clare, First Strike
So that’s it? You’re just going to rescue me and go?	Pamela Clare, First Strike
I am an acquired taste.	W.S. Gilbert
Not all vampires are created equal.	Wynter Wilkins, Strigoi
Ah, ya, omong-omong, aku sangat merindukanmu. Apa kau merindukanku juga, mmm?	Jee, Because It's You
Thank god he's holding me because if he weren't, I'd float away.	Jade Goodmore
The course of true love never did run smooth said by lysander	William Shakespeare
I’d lick you numb, Mariah. You have no idea the things I’m capable of.	Pella Grace, Knock Love Out
An artist, if you’d really like to know who’s fucking your wife.	Pella Grace, Knock Love Out
I want to have an affair.	Pella Grace, Knock Love Out
I think only when you are truly alone can you see you never were.	Kelly Moran, Summer's Road
I had liked him for all the wrong reasons.	Wendelin Van Draanen, Flipped
He studied her lips like they were a riddle he desperately needed to solve.	Amber Argyle, Witch Song
By morning you won't remember his name and you won't want to forget mine." -Vinter	Lissa Matthews, Simple Need
The slowest kiss makes too much haste.	Thomas Middleton
Maybe I am everything I knew that I would never be. I looked back at Jay and smiled.	Holly Hood
I am also an author. Please check out my novel, A Life Worth Dreaming About.	Nicholas Dettmann
No sentimentality, no romance, no false hope, no self-petting lies, merely that which is!	Sheri S. Tepper
It's me being me making you be you...	Nitya Prakash
We prayed these wars would end all wars --In war we know is no romance.")	Mark Knopfler, Golden Heart
You can’t possibly be afraid of trees.	Tara Janzen, Avenging Angel
Oh, Lord, why was she doomed to adore a man steeped in blindness and utter stupidity?	V.S. Carnes
She’d never known a man whose initial move was to undress the woman he wanted.	Tara Janzen, Avenging Angel
I like the way you kiss-a couple of test kisses, then a huge kiss.	Robyn Carr, Sunrise Point
Too long, much too long.	Jessica Verday, The Haunted
Tom. Tom, look at me. Has Nora agreed to marry you?""No, but she will because she has to.	Robyn Carr, Sunrise Point
Unconditional conditions are sometimes conditioned to conditionally exist.	Awatef A
You, sir, are the most phantom-like of all; you are a mere dream	Charlotte Brontë, Jane Eyre
Sleep. We can adore one another in the morning	Kim Fielding, Flux
All things in Fiji are paid for in blood.	Lance Morcan
Lidské tělonaprogramuješ na všechno.	Kristina Čechová, Outsider
Rene Caron takes my breath away!	Teresa Lynn
I don't write romance. Read it? Yes. Write it? No.	Cypher Lx
I feel a blood moon rising" Neesa	C.T. Todd
We're not mad. We're inhabited	Sue Moorcroft, Love Writing
The reader is the final arbiter.	Sam Reaves
Old Woman Nora of Loch LomondTo her three wee Grandaughters one cold night.	Karen Hawkins
I will never forget the magic I felt the moment I kissed your lips.	Giovannie de Sadeleer
De los extraños que no lo parecen, líbrame Dios. Que de los conocidos me libro yo.	Isa Quintin, LadyKiller
Love is what remains after the falling in love is gone.	Dragos Bratasanu, Ph.D.
Be my shield, baby. Be my world	Cybill Cain, Poker Face
She wrote love with her smile and magic with her eyes.	Giovannie de Sadeleer
She's my sun and I'm her moon connected by an invisible thread, bound but free.	Helena Hunting, Hooking Up
Live a life worth living.	R.L. Dunn
Bitch you.	Colleen Hoover, Without Merit
Guess our sex is hot, we start fires.	Toni Aleo, Overtime
Edward chuckled into her mouth.	Kristen Casey, Finding Love
I won't sugarcoat shit. You're tiptoeing on the line between batshit crazy and sane.	Toni Aleo, Overtime
But I didn't even make you work for it. I just jumped you like a cat in heat.	Toni Aleo, Overtime
Grace me dijo eso de que los abogados no saben de amor, menos uno de divorcios.	Isa Quintin, LadyKiller
My fingers are wet. I haven’t even got passed your panties yet.	Nicky Fox, My Pin-up Girl
It’s as if our bodies know the secret that we don’t wish to admit yet.	Nicky Fox, My Pin-up Girl
That kiss was amazing. Our lips were meant to meet and do wicked things to each other.	Nicky Fox, My Pin-up Girl
My favourite sound in the world —hearing your heart beatbeat for my heart.	Timothy Joshua
Twice or thrice had I lov'd thee, Before I knew thy face or name	John Donne, The Love Poems
I fell in love with the expression in his eyes when he looked at me.	Jacqueline Simon Gunn
Last night he made it very clear that he wants me.And, god help me, I want him too.	D.L. Hess, Sir: The Awakening
You, Faery Man, are wonderful.	Desiree Williams, Illusionary
He’s everything I could want but never dreamed I could have.	D.L. Hess, Sir: The Awakening
That's what I'm trying to do; it's like counting stars, only so much prettier.	Natasha Anders, The Wingman
I am the shadow of the flame.	Victoria Aveyard, Red Queen
There is safety in numbness– there is solace  in sleep.	Lang Leav, The Universe of Us
What I know about love, I can write on the head of a matchstick.	Barbara Avon, STATIC
You are every missing part of me.	Barbara Avon, The Promise
I loved you once and now I must spend my whole life explaining why.	Lang Leav, The Universe of Us
Because I could feel you, I was drowning with you.	noehen, Octavius
Love, doesn't need any stamp of society to prove itself, it just happens	Shilpi, Hangover
There is nothing more amazing than being with the one you love.	Shilpi, Hangover
There is only one happiness in life. To love, and to be loved	Shilpi, Hangover
I didn’t even know a piece of me was missing until I had her for the first time.	Jiffy Kate, Fighting Fire
وكيف تنساني يا كل ناسي	Azza Bondok, ديستوبيا
Imitations are not flattering. Nobody likes feeling like an option,	Mark Sherman Smeester
If a soul could drown in its own tears, then hers was already dead.	R. W. Patterson
Curiouser and curiouser, as Alice in Wonderland would say…	Mari Mancusi, Stake That
I would want forever with you.	Penny Reid, Grin and Beard It
What happens when you pray for an angel and get a vampire instead? R E Mullins	R E Mullins
He was both her hero and enemy. She was his best student and biggest regret.	R E Mullins
Once a generation there is a girl born who is destined to slay the vampires.	Mari Mancusi, Stake That
I never said becoming the slayer would be a field trip to a Justin Bieber concert.	Mari Mancusi, Stake That
Once bitten, totally smitten.	Mari Mancusi, Stake That
The past is just that.	B.J. Daniels, Dead Ringer
Please don’t take offense, but I want no part of this family or what comes with it.	B.J. Daniels, Dead Ringer
Where are you taking me?” Abby asked from the passenger seat of the pickup.	B.J. Daniels, Dead Ringer
We swallowed the chaos because we knew we didn't want to be ordinary.	Robert M. Drake
But dear, don’t be afraid of love it’s only magic.	Robert M. Drake
Aura, I'm really patient, but I'm not a bloody saint.	Jeri Smith-Ready, Shade
Love is only one fine star away.	Stevie Nicks
I find peace when I'm confused, I find hope when I'm let down, not in me but in you.	Switchfoot
And when all your faith is gone let it be me, if it's a friend you need let it be me	Ray Lamontagne
Its dark and I’m reading my scars because our moments remind me of where I should be.	Robert M. Drake
I look in the mirror through the eyes of the child that was me.	Judy Collins
With all honesty, somewhere between the hello and the dreams I saw you in I fell in love.	Robert M. Drake
Suddenly I remembered that laugh, it told a different story, our story.	Robert M. Drake
O Diabo, invejoso, fez o homem confundir fé com religião e amor com casamento.	Machado de Assis
Maybe what this is. What we have, is something that will save us from ourselves.	Robert M. Drake
Excuse me, I feel interrupted and I think I've overdose from the idea of loving you.	Robert M. Drake
But everything I have to give, I'll give to you	Ray Lamontagne
The greatest adventure is to have no fear for the blaze that lies ahead.	Robert M. Drake
To love is to soar in the wild unexpectedly.	Robert M. Drake
If ever I was running, it was towards you.	Jennifer Elisabeth
I just want your voice aimed at me again. I want to absorb the direction of your eyes…	Jennifer Elisabeth
